Status;Ano SolicitaÁ„o;SEI;Sexo;Estado Civil;Idade SolicitaÁ„o;PaÌs de Origem;Continente;Cidade SolicitaÁ„o;UF SolicitaÁ„o;Ano Decis„o;Motivo Arquivamento;Diff_Decisao_solicitacao;Alvo
ARQUIVADOS;2015;SIM;MASCULINO;SOLTEIRO(A);46;TANZ¬NIA;¡frica;S„o Paulo;SP;2015;Outros;0;B
ARQUIVADOS;2013;SIM;FEMININO;VI⁄VO(A);62;NIG…RIA;¡frica;S„o Paulo;SP;2015;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2012;N√O;MASCULINO;CASADO(A);34;SENEGAL;¡frica;Caxias Do Sul;RS;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);32;GUIN…-BISSAU;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);35;GANA;¡frica;BrasÌlia;DF;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);36;NIG…RIA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);21;PAQUIST√O;¡sia;BrasÌlia;DF;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);21;GUIN…-BISSAU;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);26;NIG…RIA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);27;SENEGAL;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
